행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
충청북도,25 - 29세,59895,56680,52863,47693,52374,46782,52293,42247,54042,42701,56215,43308,59358,44147,62250,45039,64492,46120
충청북도,30 - 34세,60514,58133,56552,55016,52608,49836,57870,50571,56451,48720,54074,46024,53421,44347,53193,43695,53535,43214
충청북도,35 - 39세,63870,60438,60032,58565,59095,57411,59055,53407,59855,53727,61092,55030,62202,55648,61457,54471,58944,52152
충청북도,40 - 44세,62391,57684,62776,58806,62779,60700,65379,60403,62923,58205,61810,57439,60046,55447,59283,54357,59730,54650
충청북도,45 - 49세,46666,44061,60333,56593,63404,59661,69105,65195,69737,66101,69526,65474,68972,64338,67998,62857,66220,61916
충청북도,50 - 54세,33317,32376,44909,43453,59622,57554,68133,63613,66108,61341,65359,61137,67034,63739,70336,67139,70557,67252
충청북도,55 - 59세,30982,34419,32402,32360,43670,43946,63493,61286,67906,65806,70034,67416,70114,67411,69416,66180,69535,65650
충청북도,60 - 64세,32136,36996,29355,33965,31528,33005,44393,45009,49872,49793,53233,52805,58123,57030,61505,60308,64654,63501
충청북도,65 - 69세,23885,32454,29036,36048,28168,34384,31531,33191,32400,34206,35321,36803,36807,38259,39510,41102,44008,45581
충청북도,70 - 74세,14840,23504,20799,30418,26313,34991,27180,34562,26414,32871,26132,31533,27195,31591,28779,31890,29703,32681
충청북도,75 - 79세,9781,16128,11250,20069,16754,28064,20832,31078,21566,31546,23258,33395,23693,33565,23339,33097,23513,32532
충청북도,80 - 84세,4547,8944,6162,11832,7750,16663,10650,21471,11992,23205,13093,24539,14008,25421,15117,26583,15521,26751
충청북도,85세이상,2087,5622,2736,7230,4111,10761,5090,14948,5306,15790,5827,17127,6463,18706,7282,20455,8234,22500
충청남도,0 - 4세,63928,58018,49547,46178,50210,47398,49993,47145,48964,46864,47150,45217,44922,43237,42212,40500,38624,36915
충청남도,5 - 9세,68137,60360,64877,60135,52389,48789,50893,47349,52093,48441,52615,49197,52389,49197,51978,48941,51033,48440
충청남도,10 - 14세,61106,56257,67146,60449,66920,62120,52223,48434,49907,46392,50269,46815,50647,47268,50526,47241,51744,48072
충청남도,15 - 19세,78225,72233,65600,62012,75768,69256,71225,64700,69607,63880,67255,61164,64278,58748,61663,56590,55685,51346
충청남도,20 - 24세,80858,61865,77245,63552,69426,61050,77338,67322,79892,69388,79921,69012,80883,67967,79091,67217,74858,63950
충청남도,25 - 29세,72322,64942,69553,56765,73891,58686,71035,56147,71924,56367,75318,57526,76756,58402,78016,58518,77631,57821
충청남도,30 - 34세,71619,66490,74256,68507,75275,66225,84202,68219,81133,66171,79028,63869,77443,62265,76834,60795,74888,59429
충청남도,35 - 39세,76164,70733,75181,69223,80945,74099,85050,71952,87950,73734,91369,76367,93064,78168,90855,76566,86058,72413
충청남도,40 - 44세,72987,67238,77689,70206,81092,72461,90009,77383,87050,75463,86985,75696,86036,74001,85226,73460,86684,74689
충청남도,45 - 49세,55070,53206,72820,67713,80885,72595,87551,77352,91787,80661,93668,81683,94315,81655,94308,81140,92159,80336
충청남도,50 - 54세,48552,47195,54669,53573,73372,70121,86760,77523,83553,74157,83518,74604,85911,77405,89458,80298,89941,80507
충청남도,55 - 59세,42321,48231,47988,47992,55044,55950,77372,74552,83190,79674,86830,82506,88802,83473,89402,82650,89158,81303
충청남도,60 - 64세,45526,54877,40888,47854,47139,48886,56034,57275,61406,62233,65553,65273,70769,70259,74683,73947,79367,78437
충청남도,65 - 69세,39092,50797,41808,53306,39386,48490,45464,47602,47424,49775,49478,51992,50005,52471,51796,54592,56440,59048
